"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2025","614.90","614.90","614.90","614.90","506.27K","0.00%"
"12/12/2025","614.90","614.90","614.90","614.90","573.94K","0.00%"
"12/11/2025","614.90","614.90","614.90","614.90","281.94K","0.00%"
"12/10/2025","614.90","614.90","614.90","614.90","959.43K","0.00%"
"12/09/2025","614.90","614.90","614.90","614.90","738.17K","0.00%"
"12/08/2025","614.90","614.90","614.90","614.90","533.35K","0.00%"
"12/05/2025","614.90","588.00","614.90","614.90","239.47K","4.57%"
"12/04/2025","588.00","588.00","588.00","588.00","213.91K","0.00%"
"12/03/2025","588.00","588.00","588.00","588.00","165.48K","0.00%"
"12/02/2025","588.00","534.60","588.00","588.00","713.13K","9.99%"
"12/01/2025","534.60","534.60","534.60","534.60","312.33K","0.00%"
"11/28/2025","534.60","534.60","534.60","534.60","436.55K","0.00%"
"11/27/2025","534.60","534.60","534.60","534.60","545.73K","0.00%"
"11/26/2025","534.60","534.60","534.60","534.60","132.89K","0.00%"
"11/25/2025","534.60","534.60","534.60","534.60","243.83K","0.00%"
"11/24/2025","534.60","534.60","534.60","534.60","402.92K","0.00%"
"11/21/2025","534.60","534.60","534.60","534.60","208.96K","0.00%"
"11/20/2025","534.60","534.60","534.60","534.60","225.12K","0.00%"
"11/19/2025","534.60","534.60","534.60","534.60","320.28K","0.00%"
"11/18/2025","534.60","534.60","534.60","534.60","126.73K","0.00%"
"11/17/2025","534.60","594.00","534.60","534.60","537.17K","-10.00%"
"11/14/2025","594.00","594.00","594.00","594.00","343.19K","0.00%"
"11/13/2025","594.00","594.00","594.00","594.00","3.38M","0.00%"
"11/12/2025","594.00","594.00","594.00","594.00","2.13M","0.00%"
"11/11/2025","594.00","660.00","600.00","594.00","1.77M","-10.00%"
"11/10/2025","660.00","660.00","660.00","660.00","3.63M","0.00%"
"11/07/2025","660.00","660.00","660.00","660.00","1.77M","0.00%"
"11/06/2025","660.00","660.00","660.00","660.00","2.52M","0.00%"
"11/05/2025","660.00","660.00","660.00","660.00","211.30K","0.00%"
"11/04/2025","660.00","660.00","660.00","660.00","129.20K","0.00%"
"11/03/2025","660.00","660.00","660.00","660.00","109.33K","0.00%"
"10/31/2025","660.00","660.00","660.00","660.00","583.99K","0.00%"
"10/30/2025","660.00","660.00","660.00","660.00","411.13K","0.00%"
"10/29/2025","660.00","665.00","660.00","660.00","398.65K","-0.75%"
"10/28/2025","665.00","665.00","665.00","665.00","7.54M","0.00%"
"10/27/2025","665.00","665.00","665.00","665.00","2.52M","0.00%"
"10/24/2025","665.00","649.30","665.00","665.00","1.21M","2.42%"
"10/23/2025","649.30","639.00","649.30","640.00","886.82K","1.61%"
"10/22/2025","639.00","600.00","639.00","639.00","847.59K","6.50%"
"10/21/2025","600.00","600.00","656.00","600.00","3.40M","0.00%"
"10/20/2025","600.00","600.00","600.00","600.00","3.36M","0.00%"
"10/17/2025","600.00","599.80","600.00","600.00","4.40M","0.03%"
"10/16/2025","599.80","585.60","599.80","599.80","1.70M","2.42%"
"10/15/2025","585.60","585.60","585.60","585.60","336.90K","0.00%"
"10/14/2025","585.60","585.00","585.60","585.30","4.01M","0.10%"
"10/13/2025","585.00","575.00","585.00","585.00","1.36M","1.74%"
"10/10/2025","575.00","540.00","575.00","575.00","2.02M","6.48%"
"10/09/2025","540.00","530.00","540.00","540.00","20.92M","1.89%"
"10/08/2025","530.00","530.00","530.00","530.00","482.68K","0.00%"
"10/07/2025","530.00","525.10","530.00","527.00","2.98M","0.93%"
"10/06/2025","525.10","525.10","525.10","525.10","459.90K","0.00%"
"10/03/2025","525.10","525.10","525.10","525.10","314.52K","0.00%"
"10/02/2025","525.10","525.10","525.10","525.10","181.54K","0.00%"
"09/30/2025","525.10","525.10","525.10","525.10","83.99K","0.00%"
"09/29/2025","525.10","525.10","525.10","525.10","158.53K","0.00%"
"09/26/2025","525.10","516.20","525.10","525.10","928.47K","1.72%"
"09/25/2025","516.20","516.20","516.20","516.20","288.63K","0.00%"
"09/24/2025","516.20","516.20","516.20","516.20","284.53K","0.00%"
"09/23/2025","516.20","516.20","516.20","516.20","105.61K","0.00%"
"09/22/2025","516.20","516.20","516.20","516.20","204.11K","0.00%"
"09/19/2025","516.20","516.20","516.20","516.20","551.03K","0.00%"
"09/18/2025","516.20","516.20","516.20","516.20","149.98K","0.00%"
"09/17/2025","516.20","511.20","516.20","516.00","3.01M","0.98%"
"09/16/2025","511.20","511.20","511.20","511.20","410.81K","0.00%"
"09/15/2025","511.20","511.20","511.20","511.20","389.75K","0.00%"
"09/12/2025","511.20","528.00","511.20","511.20","1.05M","-3.18%"
"09/11/2025","528.00","528.00","528.00","528.00","809.94K","0.00%"
"09/10/2025","528.00","520.20","528.00","528.00","1.33M","1.50%"
"09/09/2025","520.20","520.20","520.20","520.20","93.30K","0.00%"
"09/08/2025","520.20","520.20","520.20","520.20","124.08K","0.00%"
"09/04/2025","520.20","520.20","520.20","520.20","198.46K","0.00%"
"09/03/2025","520.20","520.20","520.20","520.20","1.47M","0.00%"
"09/02/2025","520.20","520.20","520.20","520.20","710.83K","0.00%"
"09/01/2025","520.20","520.20","520.20","520.20","181.77K","0.00%"
"08/29/2025","520.20","520.20","520.20","520.20","187.33K","0.00%"
"08/28/2025","520.20","520.00","520.20","520.20","799.32K","0.04%"
"08/27/2025","520.00","520.00","520.00","520.00","317.17K","0.00%"
"08/26/2025","520.00","520.00","520.00","520.00","306.28K","0.00%"
"08/25/2025","520.00","520.00","520.00","520.00","111.46K","0.00%"
"08/22/2025","520.00","520.00","520.00","520.00","311.11K","0.00%"
"08/21/2025","520.00","520.00","520.00","520.00","756.44K","0.00%"
